business_id,name
qLB08x1bZeXRylZ88amSsw,City Tavern
Jxi4Jb7yp-QfYUeUaXaYKQ,Passion8 Bistro
Pffzrq6HjCCXx1gBMDJieA,The Shore Club
LSXqMO2B0nD3gt-GX_5a4Q,Reagan's Public House
cXRCxeaKHyOR8SnrDXv_DA,Pelican's SnoBalls
1YgnHnbPtFWRKWY22fGUTw,Red Bowl
3PiBGFBdHFvUem4iQXwKOg,Patriot Taphouse and Grill
0yHBkndzrBNnl2ZHiFfyJw,Hwy 55 Burgersand Fries
Ki9N8VBWvEs3FOpAjeNWFA,Culver's
eJ0kWgojWvS1IunOpzyfWg,Brew's Tavern
qkffyIcgCbYkFqiKwjEzFg,Mulligans Sports Bar & Grille
oXJstptbVkL5dZ5p4YYYaQ,Regent Park Cafe
qSa3L7cy8Gju4ZLs50ycag,Captain Steve's
5cd6QVY_Eeuc17WuBdi8Aw,Freebirds Family Restaurant
3GMgxgK11TqpQq8TWh_7uA,Cracker Barrel Old Country Store
_weCk0u7mXj1jwSEvdDOoA,Skyline Grille at Regent Park Golf Club
xbM9ejOu5ROD32WhwxGFxQ,Plaza Fiesta Carolinas
d4GBb0eVWVdfL5aJx3UCRg,Casual Water
Cn6GXSkcyrCOxQYIK73gDw,Bagel Boat
nPB_oUbkXcgOiLYVmYrjog,Jim 'N Nick's Bar-B-Q
6qDRqHWqf0EeHupSUEBfKg,521 BBQ & Grill
MAugaG_RkNvT0ojmkTvexw,Sweetwater Sports Bar & Grill
NP4_6mF00T_4ttR-LMlZmw,Cloud 9 Martini & Tapas Bar
zDKH2ua2DauqiWOAP9yz7g,Hobo's
LWcn5_F8c5iDLvVCootw3A,Empire Pizza & Bar
qe1HlnWwBfOOy76_7sirkA,Fort Mill Family Restaurant
owjS04hpDA-XExecvsU0OQ,Famous Toastery
Lz1lCZzoCAd0zZsZPevsXg,Six Pence Pub
8Hs44js5JQp6ijoZlB5Bjg,Hwy 55 Burgers Shakes & Fries
2HMVulYmq8fhlD3N3xWeQA,McDonald's
ISrkkXTCzBwnIokSNN0cyQ,McDonald's
JYJp_reWLD2NolINChPgrw,WingBonz
UM07j7HtW-dhr8Gq3LQLxg,521 BBQ & Grill
eFrR9gj28Pj4VxdLBhO43Q,McDonald's
rgg8WrhcqxXecU58BPCoqQ,Wendy's
AE3Qz_POf13piq2Z-RA5Kg,Wendy's
qK9Ap-_B_Nof_WwockrVCw,Blacow Burger
OqyKtobNjxJ_2bZ1FS9Hzg,Bistro 160 Cafe & Catering
HerosKATot0-_0d-8u-5kQ,Domino's Pizza
Uo84nFvvrCV0xZN2NzDogA,KFC
GtioOu-ZcwVJUhTgox4lsA,Chick-fil-A
6axCBHqLYCD_i6_FfbSzNQ,Zaxby's Chicken Fingers & Buffalo Wings
6QKauV9Qt9VgX38-R7Q--g,Wing King Cafe
tnnbMVeEfr9iLCyT1ZgLwQ,Asian Express
3lgdf4x23yBwNvE12iwqOw,Tian Tian Asian Restaurant
ocpvN411IJQk8X8_Sk6DFQ,Chinatown
PlP0c_u3g-3LiWHpb2XnOQ,Lee Cafe
avl8sqAPq0hdOGyC6WXctQ,China Inn
Vs1fOHl8Ccr8iYF73hHKcg,Panda Hut
vL70kh_OMblkZV9E4k_Dhg,Best China
8i87OcquWn8wAAU706qLzA,Liu Lius Asian Bistro
gAy4LYpsScrj8POnCW6btQ,Toast Cafe
QrKjK2pzY85D0WgY8GzWXg,Madison's On the Corner
fRQTituAw1P_Vwr8UDFjYg,Carlos Cafe
ZF0OSC01jVimSjAo9PdoEg,Cruzin Reubenz by Phil's Deli
22RFH-U5gboNJgws_GBG3w,Groucho's Deli
5S0zBnWzxy8FDESCLde5OA,Sweet Peppers Deli
Ej_13Aok2GfnB9jr-FNvNg,Di-Dee's Diner
AZ2fqBEJVLiYAOg4adFKbg,Johnny K Restaurant
yiVQQj0QEzLiKTlKFaq8NQ,Tega Cay Golf and Community Center
aR8WzjbHPkjmN4yuwqdGhA,KFC
Opjcfn1jPl57bzhRSGfGEw,Jersey Mike's Subs
81ZnnowfL55L3MH-bGpanA,Bojangles' Famous Chicken 'n Biscuits
HMaxzaWhRg4d9g4e_gDtFg,Chick-fil-A
FXKcwq9Gu21nbwMTjm68VA,Tenders
lll3B4ebh5ysiPSTob8Jkg,Jersey Mike's Subs
nSD-uxCMb745bH3dxoko9Q,Taco Bell
FwejQ1YOx0tJjtXiQP6grQ,Taco Bell
Pwh0CgmRU-VAV9O4OtNJRw,Sal's Roadside Eatery
3AiugU7N_7fhpEob-yc83w,Big Apple Bagels
zlQMtbgJVzXMRy3cIHww1Q,Casa Colombia
Uoa1YNUbHbIINY4vM2TPLQ,QuikTrip
F1tRni0x93nfRA-O5SHHzg,Tacos Nayarit #2
XZ6cTNYjdO0MzqLqT9EMyw,Tega Cay Gourmet Deli
V-GKJwamXPIxSwecZdcPYw,The Carolina Bistro
SP_CO8ZAIaskpJWxbwd4LA,The Mill Eatery & Drafthouse
avXNV_IGNeEJ2hFquQrpRQ,Carolina Creamery
u5Xa3N90_jhbBGKU2e4Y3w,Angelos of Fort Mill
sT6KKMATRTiNSJ896D7l2w,Carmellas Pizza Grill
SsR3VcY5HYhn_R5pXgx-MA,Figaro's Pizza
TC49g3q2mlZzZvJPlGFrqQ,De Marco's Italian Grill
CRopg1Y_yGOzYP3vkPV_dg,Bravo Antonio
X2U2sEnTGozDh9cyXrFGdQ,Papa Pino's
c7AVaO_N4c0UoXQO3BbfFQ,Mama Theresa's
N6-dAWPTAaHqwRb94vXFCQ,Rizzo's Spaghetti House
Km0sT7E_dc2U1BkyRoy1xA,"Akahana - Asian Bistro, Bar & Sushi"
btXRyLueZbhL5yDQnhn7GQ,Asian Roll & Grill
grk4okZqtxGgUe-HhYPLIw,Saiki Japanese Restaurant
K2WJ-BPzzmP9cVIImvai6g,Cherry Sushi & Grill
ySxzIcTscvvmDIh7LaSIVA,Smoothie King
RvrR0l5QGUK5qxcHZUSrFA,Moe's Southwest Grill
yPIHOfXNz4LNTWFjCTFWgA,Greco Fresh Grille
Iz3Cpk4HEd88K0niEmdK5w,Jerusalem Cafe
gv8hshEMasuoJoFGdmk3jg,La Poblanita Market and Grill
LDfwOLcQMASCS-MWXFPsCw,Taqueria La Unica
i8ijGG8LXmFOWTz-Haej7w,Charanda Mexican Grill & Cantina
Y0E0MsmJagLlyiSUn9uv-w,Midtown Sundries Grill & Bar
3RbQH-hz2-MQOBAG0gK_bg,The River Rat
se0gRg5L3gggUfUPOaKsmA,RC's Grill & Sandbar
HvVV1N9RyxsJhayQeDuuTA,Beef 'O' Brady's
nO9rDhbxekZLyHaK5GEMfw,John's Place
NXYpco38HdrcBUxLvwIH8Q,Marco's Pizza
mXW6liskyzz5udQ9vxYRWw,Pizza Hut
tQBTBxZyM3OarBffqafu4w,Village Pizza
6PHMvoJwpIyr4G3huULuWA,Mamas Pizza & Pasta
LkgeiQH-wF0X0jXzqLD2jA,Esposito's Pizzeria Bagels
t59EjJ_flqR75Mk2RWILAg,Fratelli's Ristorante & Pizzeria
RxUhM4pskQFVHM00CKGlAQ,Digby's Pizza
79DB7Q4v-792r_Iwgnwg1Q,Toppers Pizza
BeRW9lwppMRVAcwSgI9r0Q,Danny's Pizza and Pasta
IWjkXz2x9CtGmuF5w4Vweg,Savannah's
1ylgrtS3iSNaf3V68kw4bw,Local Dish
C5ttvPhTzSyS0JJBC73eAw,Bert's Backyard Bar and Bistro
DgNjN1XFwCndjjxaKoKjZA,American Cafe & Lounge
4RjqtCUNmnB-MHxISZzYTg,Steve and Kelly's Grill House
9ts9JvymISMRwqlPZZHqCQ,Bravo Restaurant
Mmh4w2g2bSAkdSAFd_MH_g,Red Bowl
jayJIsjK3tUi8Kg4-8MNdg,Fort Mill BBQ Company
EkgV-UIuP7Bwf4NcYb2kxw,Bojangles
0gzjWF7rX-biFsQB3EvIBQ,Shane's Rib Shack
gcOWhDlqCUI4YFNAYQ8nVQ,Baxter Social House
CWu6oDNKDIABkzlQYMC-FA,Famous Toastery
48RvI-rWPjRe_nuOmbaa3A,Burger Craft
szdHIyFeOBnbaUmz0kyJFg,Hardee's Red Burrito
sIG5CANiWws1fOGJRUDjAQ,Bacintyme Coffee Cafe
y1PXa8oQSnEHuL7AmwOP5A,Shia Asian Bistro
7rnO3Fb6FRb58-RMhSk-6g,Golden China
BvXzUB7QcfCF1gcQwi9oJA,China II
bBPwtSuuiyePO9RNDkqQeg,China East
8BBcTUOmXT0dJ33hYtLUAw,Big Wok
gGA055zZCftYMMC8xEWbyg,Wendy's
qBZGW8GM7mPuYxQ5lhl_eA,Tropical Smoothie Cafe
Pqkc04NdJQQeNrxQG-F9kA,Bojangles
0qTo0ktehcCKsYc5l1NKpg,Culver's
HZ27TmUPGkeh9zv7V4O76w,Q2U BBQ Pit and Catering
BuiCCIu2ohl0mYm7S0B6MQ,Marco's Pizza
2Zjr-wXPQJfw1Ew_ez8i0Q,Bavarian Deli
2DODGcOKKhegTzscdwWRig,Showmars Fort Mill-Hwy 521
NhNO2lN-p1RvA4MfR1wk1A,La Fornarina
N3kBSwTiplhiCSyhEdrXrg,Peking Tokyo
DzSlAkkiwtZjP09AaOMa-g,The Roasting Oven
LHHKDRZbofrex2FA7IBhSQ,El Maguey
oMB1I8-P3TCVNdaEu91NXQ,El Cancun Mexican Restaurant
R5wclscVlxWOJXMlAEFVkw,Salsarita's Fresh Cantina
uDKO9NRkk8ThjyLdlakVZQ,Los Aztecas
nuJbVf0KUcpMG3i3RtNd_A,Trifecta Grill
6cIH7YCatwfF6Gt6xhj5_g,Blue Heron Grill
UGjpL5nnKlKRhQq5YMgQ2Q,Papa John's Pizza
hXfTq29MXF_XPdEp9faEAg,Little Caesars Pizza
EZMD4IyCbj9HYBK5yyAW7A,Papa John's Pizza
NC8Eo3rPaBMd3Ja4FdLnLg,Papa Murphy's
eKJvJs8jxVycATMqrCtx6A,Market Street Pizza
3ZKP5gCoUqao6zCIrLfdPw,Bojangles Restaurant
a5zjODIOCqRAH5mG4sPVYQ,Cherry
CiYamRWo4h61K81MojTeFA,Ocean Palace
FgHAx1fSeKYPIDXBKeF8xA,Hardee's of Fort Mill
pfqHGEB1lyXw6bWwt1ouoQ,Roasting Oven & Grill
_4KoAOFWFBu7xCoKtZfv6A,McAlister's Deli
waI_R35_ZADACS9HaNnpHA,Ladles
oEPSDcn6OUjMwtEjoqLaAA,Southern Salads & Sandwich Company
XwPDiSASKZLpMgdO5tTyEA,Los aztecas
VGXocHCxlwji_GunJzwopA,Bojangles' Famous Chicken 'n Biscuits
qsxS95-LT2YIoUZv5coMPw,Subway
3MEcN5aFLMSOaH4PuVVomA,Subway
ovSAda1estGzhef4ZHO7RA,Subway
9Cx6XeFHPsdAZ4OxZ6yn8Q,Jumpin' Java
Ua4y230Lf9a0kRr2qWeXig,Jersey Mike's Subs
p_riQnZZj-xWQ3xn4nNkMw,Subway
E03V5cQculmCErWPr8fKBg,Sub Station II
vUelO4_KmsSjAxA_eKGdPQ,Jimmy John's
PbTXqq-283ua5BJmHYf3gg,Zaxby's Chicken Fingers & Buffalo Wings
u5wmbtWjMyaiJpAbP2xoEw,Fish Market
7EH21AeGaOnp8dtRpkAnIw,Long John Silver's
tTEtAzGbydufWtgOqCMquA,The Flipside Cafe
VjLmatrIIRiOdOZWR12c-w,Towne Tavern
2WQA66suU2rsHm4PRjt1_Q,Twin Rivers
aC6uSPaLuxdO0hYIRtanIw,T-Bones On the Lake
BpEEAmWJSl-XHBeVQt2ybg,Hanako
rANNcpPvv9EezHF-6kYCMg,Tapas 51
Jp7DWno_5zAYtrpEkc0ylw,Eat Well
